Hour,Solar Power Output (kWh)
514,574.305
515,652.68
516,4915.78
517,5340.937
518,4996.687
519,4085.17
520,2015.379
521,976.433
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,767.982
539,1926.688
540,4625.482
541,2876.774
542,1314.939
543,1519.334
544,612.209
545,854.639
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,398.625
563,1193.772
564,1097.803
565,1452.712
566,1119.565
567,715.098
568,907.21
569,51.21
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,148.646
587,133.809
588,193.537
589,529.357
590,643.622
591,497.477
592,191.478
593,22.57
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,280.539
611,986.62
612,1438.092
613,2063.762
614,2069.492
615,1667.613
616,1924.116
617,210.156
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,117.814
635,312.615
636,465.947
637,547.114
638,609.019
639,967.065
640,373.985
641,245.217
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,967.928
659,2133.601
660,2945.195
661,3104.402
662,2865.533
663,3334.895
664,1188.239
665,644.259
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,1106.054
683,3598.17
684,3483.871
685,4271.725
686,5012.204
687,4208.339
688,4101.928
689,1507.532
690,23.964
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,1463.693
707,2996.184
708,3937.724
709,3491.91
710,6680.307
711,5128.318
712,2249.401
713,1594.444
714,31.219
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
