Frequency (Hz),VCG Harmonics
0.0,100.36383
0.032552083333333336,11575.924
0.06510416666666667,11566.169
0.09765625,11446.434
0.13020833333333334,11596.565
0.16276041666666669,11556.251
0.1953125,11656.331
0.22786458333333334,11632.004
0.2604166666666667,11752.832
0.29296875,11777.341
0.32552083333333337,11863.445
0.3580729166666667,11899.0
0.390625,11972.739
0.42317708333333337,12152.161
0.4557291666666667,12208.044
0.48828125000000006,12402.753
0.5208333333333334,12420.762
0.5533854166666667,12638.762
0.5859375,12811.743
0.6184895833333334,12983.706
0.6510416666666667,13183.085
0.68359375,13454.721
0.7161458333333334,13543.301
0.7486979166666667,13811.566
0.78125,13967.78
0.8138020833333334,14315.122
0.8463541666666667,14520.715
0.8789062500000001,14951.633
0.9114583333333334,15117.704
0.9440104166666667,15650.905
0.9765625000000001,15950.902
1.0091145833333335,16259.222
1.0416666666666667,16586.91
1.07421875,17370.895
1.1067708333333335,17518.09
1.1393229166666667,18260.494
1.171875,18696.578
1.2044270833333335,19634.031
1.2369791666666667,20149.05
1.26953125,21275.201
1.3020833333333335,21734.125
1.3346354166666667,23168.838
1.3671875,23894.914
1.3997395833333335,25544.078
1.4322916666666667,26433.883
1.46484375,28574.084
1.4973958333333335,29806.824
1.5299479166666667,32433.416
1.5625,34243.785
1.5950520833333335,38266.246
1.6276041666666667,41118.766
1.6601562500000002,45956.008
1.6927083333333335,50371.094
1.7252604166666667,58425.125
1.7578125000000002,66244.12
1.7903645833333335,81008.03
1.8229166666666667,98865.79
1.8554687500000002,134245.31
1.8880208333333335,198281.31
1.9205729166666667,406644.16
1.9531250000000002,10635680.0
1.9856770833333335,375349.1
2.018229166666667,187613.56
2.05078125,127757.51
2.0833333333333335,93749.055
2.115885416666667,76318.82
2.1484375,62765.312
2.1809895833333335,53588.855
2.213541666666667,46928.668
2.24609375,40519.918
2.2786458333333335,37449.457
2.311197916666667,33846.207
2.34375,30154.129
2.3763020833333335,28505.758
2.408854166666667,25478.676
2.44140625,24444.555
2.4739583333333335,22416.602
2.506510416666667,21575.184
2.5390625,19252.85
2.5716145833333335,19187.58
2.604166666666667,17964.943
2.63671875,16768.418
2.6692708333333335,16340.299
2.701822916666667,15576.908
2.734375,14882.746
2.7669270833333335,14124.844
2.799479166666667,13648.574
2.83203125,12894.259
2.8645833333333335,12823.717
2.897135416666667,11569.6455
2.9296875,11172.483
2.9622395833333335,11210.357
2.994791666666667,10795.625
3.02734375,10508.339
3.0598958333333335,10151.166
3.092447916666667,9876.908
3.125,9476.811
3.1575520833333335,9912.667
3.190104166666667,9116.859
3.2226562500000004,8946.218
3.2552083333333335,8451.173
3.287760416666667,8587.609
3.3203125000000004,7705.187
3.3528645833333335,8374.821
3.385416666666667,7608.126
3.4179687500000004,7780.6147
3.4505208333333335,6883.168
3.483072916666667,7647.028
3.5156250000000004,6968.7065
3.5481770833333335,7069.1875
3.580729166666667,6732.5806
3.6132812500000004,6337.4717
3.6458333333333335,6463.021
3.678385416666667,6304.9473
3.7109375000000004,5890.832
3.7434895833333335,5881.8267
3.776041666666667,5771.741
3.8085937500000004,5674.154
3.8411458333333335,5730.4307
3.873697916666667,5173.7734
3.9062500000000004,2519.421
3.9388020833333335,6012.3486
3.971354166666667,5298.7217
4.00390625,5595.459
4.036458333333334,5106.655
4.069010416666667,5222.732
4.1015625,4994.911
4.134114583333334,5046.568
4.166666666666667,4984.3105
4.19921875,4750.0693
4.231770833333334,4739.1704
4.264322916666667,4734.201
4.296875,4412.956
4.329427083333334,4485.229
4.361979166666667,4631.526
4.39453125,4642.095
4.427083333333334,4609.0605
4.459635416666667,4063.1194
4.4921875,4595.708
4.524739583333334,4174.0215
4.557291666666667,3843.4448
4.58984375,3925.7283
4.622395833333334,4296.158
4.654947916666667,3342.0781
4.6875,3863.3416
4.720052083333334,3452.7341
4.752604166666667,4444.254
4.78515625,3631.9668
4.817708333333334,4210.851
4.850260416666667,3209.153
4.8828125,4073.4622
4.915364583333334,3190.416
4.947916666666667,3876.4158
4.98046875,2992.4268
5.013020833333334,3864.1904
5.045572916666667,3118.9924
5.078125,3733.3335
5.110677083333334,2957.605
5.143229166666667,3863.8535
5.17578125,2568.9688
5.208333333333334,3753.165
5.240885416666667,1608.8856
5.2734375,4065.5623
5.305989583333334,2273.2732
5.338541666666667,3531.173
5.37109375,2311.3752
5.403645833333334,3703.7065
5.436197916666667,2653.282
5.46875,3205.663
5.501302083333334,2033.5826
5.533854166666667,3252.3115
5.56640625,2784.6284
5.598958333333334,3485.7764
5.631510416666667,2183.2913
5.6640625,3871.134
5.696614583333334,1816.119
5.729166666666667,2879.042
5.76171875,1744.1986
5.794270833333334,3048.0356
5.826822916666667,2472.6462
5.859375,22279.188
5.891927083333334,3828.3057
5.924479166666667,4008.6562
5.95703125,2409.5208
5.989583333333334,3898.8389
6.022135416666667,2235.393
6.0546875,2999.822
6.087239583333334,2099.8186
6.119791666666667,3575.2542
6.15234375,1562.6694
6.184895833333334,4326.7085
6.217447916666667,2704.288
6.25,2868.4487
6.282552083333334,573.7233
6.315104166666667,2385.8044
6.347656250000001,1666.0139
6.380208333333334,2406.7305
6.412760416666667,1823.1154
6.445312500000001,2968.2227
6.477864583333334,747.75696
6.510416666666667,2781.041
6.542968750000001,3347.4565
6.575520833333334,4156.4717
6.608072916666667,2245.1948
6.640625000000001,3176.0112
6.673177083333334,2695.4001
6.705729166666667,3927.0088
6.738281250000001,2090.729
6.770833333333334,3598.4744
6.803385416666667,2399.4624
6.835937500000001,2956.349
6.868489583333334,2466.2449
6.901041666666667,3058.5205
6.933593750000001,1870.2466
6.966145833333334,2402.572
6.998697916666667,2176.703
7.031250000000001,2282.1401
7.063802083333334,2185.2898
7.096354166666667,2896.8533
7.128906250000001,1947.2346
7.161458333333334,1855.7201
7.194010416666667,2218.963
7.226562500000001,2378.7517
7.259114583333334,2457.6375
7.291666666666667,2330.5798
7.324218750000001,2425.7336
7.356770833333334,2294.3435
7.389322916666667,2017.166
7.421875000000001,2151.5278
7.454427083333334,2146.4094
7.486979166666667,2360.3542
7.519531250000001,2177.3916
7.552083333333334,2359.2998
7.584635416666667,2074.5664
7.617187500000001,2262.9192
7.649739583333334,1907.5704
