Year,Month,Day,Hour,Minute,wind_speed,power_raw,power_output
2023,1,5,1,0,8.370000000000001,58535.83840112797,1500.0
2023,1,5,2,0,9.11,75474.56176485198,1500.0
2023,1,5,3,0,8.84,68960.79573347793,1500.0
2023,1,5,4,0,9.51,85859.23604466533,1500.0
2023,1,5,5,0,9.15,76473.10980792169,1500.0
2023,1,5,6,0,9.25,79007.9270605587,1500.0
2023,1,5,7,0,9.17,76975.66971568906,1500.0
2023,1,5,8,0,8.15,54040.36769292771,1500.0
2023,1,5,9,0,7.61,43994.60668302748,1500.0
2023,1,5,10,0,8.03,51688.282890175455,1500.0
2023,1,5,11,0,8.09,52855.60325813598,1500.0
2023,1,5,12,0,7.890000000000001,49031.64666631967,1500.0
2023,1,5,13,0,7.11,35880.15176029266,1500.0
2023,1,5,14,0,6.58,28439.578137689216,1500.0
2023,1,5,15,0,8.38,58745.89503748459,1500.0
2023,1,5,16,0,9.14,76222.65222403388,1500.0
2023,1,5,17,0,9.36,81860.24032518691,1500.0
2023,1,5,18,0,8.2,55041.090055113644,1500.0
2023,1,5,19,0,8.52,61739.662829422225,1500.0
2023,1,5,20,0,9.05,73993.09725639224,1500.0
2023,1,5,21,0,9.65,89707.22225182303,1500.0
2023,1,5,22,0,9.84,95111.00361523639,1500.0
2023,1,5,23,0,9.62,88873.17286504827,1500.0
2023,1,6,0,0,9.25,79007.9270605587,1500.0
2023,1,6,1,0,8.15,54040.36769292771,1500.0
2023,1,6,2,0,8.9,70374.52702199516,1500.0
2023,1,6,3,0,9.69,90827.38282508805,1500.0
2023,1,6,4,0,7.18,36950.37087584515,1500.0
2023,1,6,5,0,7.22,37571.37262725672,1500.0
2023,1,6,6,0,6.34,25439.7736428638,1500.0
2023,1,6,7,0,6.73,30429.20890513477,1500.0
2023,1,6,8,0,6.0,21562.505353782864,1500.0
2023,1,6,9,0,5.03,12704.261492031439,1500.0
2023,1,6,10,0,4.36,8273.798443201207,1500.0
2023,1,6,11,0,5.0,12478.301709365085,1500.0
2023,1,6,12,0,4.67,10167.076955820543,1500.0
2023,1,6,13,0,5.29,14777.891894048638,1500.0
2023,1,6,14,0,5.0600000000000005,12932.932759746029,1500.0
2023,1,6,15,0,4.64,9972.393587169852,1500.0
2023,1,6,16,0,4.3100000000000005,7992.4012596174525,1500.0
2023,1,6,17,0,3.3000000000000003,3587.4618282356255,1500.0
2023,1,6,18,0,3.66,4894.279027706989,1500.0
2023,1,6,19,0,2.3000000000000003,1214.5879751827601,1214.5879751827601
2023,1,6,20,0,1.96,751.6465755162073,751.6465755162073
2023,1,6,21,0,2.24,1121.991389691832,1121.991389691832
2023,1,6,22,0,0.5,12.478301709365084,12.478301709365084
2023,1,6,23,0,1.29,214.2962641454018,214.2962641454018
2023,1,7,0,0,1.81,591.9447780511379,591.9447780511379
2023,1,7,1,0,2.85,2310.8941284624484,1500.0
2023,1,7,2,0,4.58,9590.514429852576,1500.0
2023,1,7,3,0,3.52,4353.849969912035,1500.0
2023,1,7,4,0,5.3,14861.856988681164,1500.0
2023,1,7,5,0,4.89,11672.719421672382,1500.0
2023,1,7,6,0,5.29,14777.891894048638,1500.0
2023,1,7,7,0,5.87,20191.090382196046,1500.0
2023,1,7,8,0,7.01,34387.41445389505,1500.0
2023,1,7,9,0,4.51,9157.461357919532,1500.0
2023,1,7,10,0,3.27,3490.508718225509,1500.0
2023,1,7,11,0,2.6,1754.5490467504058,1500.0
2023,1,7,12,0,5.41,15806.556368207099,1500.0
2023,1,7,13,0,4.87,11530.080853270358,1500.0
2023,1,7,14,0,5.32,15030.740120891161,1500.0
2023,1,7,15,0,5.33,15115.659356385591,1500.0
2023,1,7,16,0,5.5200000000000005,16790.46416892648,1500.0
2023,1,7,17,0,4.8100000000000005,11109.146608131041,1500.0
2023,1,7,18,0,4.63,9908.055763035609,1500.0
2023,1,7,19,0,5.41,15806.556368207099,1500.0
2023,1,7,20,0,5.5,16608.61957516493,1500.0
2023,1,7,21,0,5.2700000000000005,14610.911652936122,1500.0
2023,1,7,22,0,5.8500000000000005,19985.410235641346,1500.0
2023,1,7,23,0,6.04,21996.636850462834,1500.0
2023,1,8,0,0,6.03,21887.56281730431,1500.0
2023,1,8,1,0,3.86,5741.262224116673,1500.0
2023,1,8,2,0,4.3100000000000005,7992.4012596174525,1500.0
2023,1,8,3,0,4.63,9908.055763035609,1500.0
2023,1,8,4,0,5.61,17625.199962121624,1500.0
2023,1,8,5,0,4.8500000000000005,11388.609055991363,1500.0
2023,1,8,6,0,6.21,23906.73511552226,1500.0
2023,1,8,7,0,6.36,25681.288876441056,1500.0
2023,1,8,8,0,5.5200000000000005,16790.46416892648,1500.0
2023,1,8,9,0,5.72,18682.438249798317,1500.0
2023,1,8,10,0,4.32,8048.161998288748,1500.0
2023,1,8,11,0,3.87,5785.999131925849,1500.0
2023,1,8,12,0,4.47,8915.958502817582,1500.0
2023,1,8,13,0,3.08,2916.739335312164,1500.0
2023,1,8,14,0,3.24,3395.318343028065,1500.0
2023,1,8,15,0,1.77,553.5607233818214,553.5607233818214
2023,1,8,16,0,3.26,3458.5835323473725,1500.0
2023,1,8,17,0,4.62,9843.995256678554,1500.0
2023,1,8,18,0,3.5700000000000003,4542.031244934423,1500.0
2023,1,8,19,0,3.5,4280.057486312224,1500.0
2023,1,8,20,0,6.21,23906.73511552226,1500.0
2023,1,8,21,0,7.09,35578.21658983866,1500.0
2023,1,8,22,0,4.6000000000000005,9716.703801462081,1500.0
2023,1,8,23,0,6.47,27036.98817572303,1500.0
2023,1,9,0,0,5.0200000000000005,12628.641086970829,1500.0
2023,1,9,1,0,5.15,13635.377191969385,1500.0
2023,1,9,2,0,4.23,7555.558477542073,1500.0
2023,1,9,3,0,4.3100000000000005,7992.4012596174525,1500.0
2023,1,9,4,0,4.94,12034.451911661035,1500.0
2023,1,9,5,0,5.2,14036.392374003246,1500.0
2023,1,9,6,0,5.61,17625.199962121624,1500.0
2023,1,9,7,0,5.34,15200.89783675095,1500.0
